ticket_id,วันที่แจ้ง,เวลาที่แจ้ง,สถานะ,สถานที่,รายละเอียด,เขตผู้รับผิดชอบ(แก้ไขโดย),หมวดหมู่,สถานะล่าสุด,วันที่สถานะล่าสุด,เวลาสถานะล่าสุด,เวลาที่ใช้,ระยะเวลาจากวันที่เริ่มแจ้ง(วัน),ระยะเวลาจากสถานะล่าสุด(วัน)
2022-9L78FG,2022-07-04,10:36 น.,รอรับเรื่อง 886 วันที่แล้ว,เขตราษฎร์บูรณะ,เมื่อวันเสาร์ ที่ 2 ก.ค. 2565 รถขนเหล็ก ก่อสร้างทางด่วน เกี่ยวสายไฟ บ้านหลังคาสั่นมากสายไฟและสายสื่อสารหล่นลงพื้นและขวางทางเข้าออกประตู้รั้วบ้าน รถเข้าออกลำบาก,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",จุดเสี่ยง,เปิดเรื่องใหม่,2022-07-21,12:36 น.,ใช้เวลา 17 วัน 2 ชม.,886,869
2022-4BRV7Y,2022-07-04,08:27 น.,รอรับเรื่อง 886 วันที่แล้ว,เขตราษฎร์บูรณะ,ถนนเป็นหลุมเป็นอันตรายต่อ จยย เพราะอยู่เลนที่สาม เวลากลับรถอาจทำให้รถล้มได้,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2022-07-04,08:27 น.,รอรับเรื่อง,886,886
2022-N8EU8F,2022-07-04,08:26 น.,รอรับเรื่อง 886 วันที่แล้ว,เขตราษฎร์บูรณะ,ถนนเป็นหลุมเป็นอันตรายต่อ จยย,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2022-07-04,08:26 น.,รอรับเรื่อง,886,886
2022-L2DX32,2022-06-30,16:29 น.,รอรับเรื่อง 889 วันที่แล้ว,เขตราษฎร์บูรณะ,ไม่แน่ใจ,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2022-06-30,16:29 น.,รอรับเรื่อง,890,890
2022-3Q789C,2022-06-30,16:25 น.,รอรับเรื่อง 890 วันที่แล้ว,เขตราษฎร์บูรณะ,ตามเรื่องหน่อยค่ะ,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2022-06-30,16:25 น.,รอรับเรื่อง,890,890
2022-AGRALY,2022-06-29,18:28 น.,รอรับเรื่อง 890 วันที่แล้ว,เขตราษฎร์บูรณะ,เลยสามแยกกิโล 9 50 เมตรอยู่ซ้ายมือตรงข้ามด่านเก็บเงินทางด่วน รบกวนมาดูให้หน่อยนะครับ,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ทางเท้า,รอรับเรื่อง,2022-06-29,18:28 น.,รอรับเรื่อง,891,891
2022-K3R4QC,2022-06-28,09:21 น.,รอรับเรื่อง 892 วันที่แล้ว,เขตราษฎร์บูรณะ,สายอะไรก็ไม่รู้หย่อนลงมาจนเวลาเดินจะเกี่ยวคอแล้วค่ะ ยิ่งตอนกลางคืนมืดมาก,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",อื่นๆ,เปิดเรื่องใหม่,2022-07-18,13:44 น.,ใช้เวลา 20 วัน 4 ชม.,892,872
2022-79CTV3,2022-06-27,18:52 น.,รอรับเรื่อง 892 วันที่แล้ว,เขตราษฎร์บูรณะ,สวัสดีค่ะ ดิฉันใช้เส้นทางกลับบ้าน บนถนน สุขสวัสดิ์ แล้วต้องกลับรถ ตรงช่วงซอยสุขวัสดิ์ 25 แต่เส้นนี้เป็นถนน 4เลน เวลากลับรถน่ากลัวมาก ถ้าเป็นไปได้ อยากให้มีไฟจราจร เพื่อป้องกันอุบัติเหตุ,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ผิดกฎจราจร,รอรับเรื่อง,2022-06-27,18:52 น.,รอรับเรื่อง,893,893
2022-6VEV6W,2022-06-27,13:21 น.,รอรับเรื่อง 893 วันที่แล้ว,เขตราษฎร์บูรณะ,จะตามเรื่อง,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2022-06-27,13:21 น.,รอรับเรื่อง,893,893
2022-3NNQEW,2022-06-27,09:38 น.,รอรับเรื่อง 893 วันที่แล้ว,เขตราษฎร์บูรณะ,แก้พื้นป้ายรถเมล์ ใต้ทางด่วน กิโล 9 เขตราษฎบูรณะ ให้หน่อยค่ะ กลัวคนจะเดินเเล้วเกิดอุบัติเหตุ เพราะคนใช้ป้ายรอรถเมล์เยอะทุกวัน,"กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ทางเท้า,รอรับเรื่อง,2022-06-27,09:38 น.,รอรับเรื่อง,893,893
2022-82UKDR,2022-06-26,20:56 น.,รอรับเรื่อง 893 วันที่แล้ว,เขตราษฎร์บูรณะ,"อยากให้ปรับปรุงเส้นจราจร ให้ 2 เลนซ้ายมีขนาดลดลง, และปรับให้ 2 เลนขวากลายเป็น 3 เลน, เพื่อให้การจราจรไหลลื่น และไม่จูงใจให้คนมาแทรกเลน","กรมทางหลวง, สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส.), กรุงเทพมหานคร, เขตราษฎร์บูรณะ, เพื่อนชัชชาติ",ผิดกฎจราจร,เปิดเรื่องใหม่,2022-07-28,22:54 น.,ใช้เวลา 32 วัน 1 ชม.,894,862
2022-B8MZ7G,2022-06-26,11:37 น.,รอรับเรื่อง 894 วันที่แล้ว,เขตราษฎร์บูรณะ,แยกบางปะกอก สัญญาณไฟจราจรเสีย,"เพื่อนชัชชาติ, เขตราษฎร์บูรณะ, กรุงเทพมหานคร",ถนน,รอรับเรื่อง,2022-06-26,11:37 น.,รอรับเรื่อง,894,894
2022-NARRVX,2022-06-11,14:08 น.,รอรับเรื่อง 909 วันที่แล้ว,เขตราษฎร์บูรณะ,สายสัญญาณห้องระโยงระยาง,"การไฟฟ้านครหลวง เขตราษฎร์บูรณะ, เขตราษฎร์บูรณะ, สำนักงาน กสทช. (ศูนย์รับแจ้งปัญหา 1200), การไฟฟ้านครหลวง MEA, กรุงเทพมหานคร, เพื่อนชัชชาติ",อื่นๆ,รอรับเรื่อง,2022-07-27,12:04 น.,ใช้เวลา 45 วัน 21 ชม.,909,863
2022-CCMMGR,2022-06-05,13:40 น.,รอรับเรื่อง 915 วันที่แล้ว,เขตราษฎร์บูรณะ,เคยแจ้งปัญหาไปกับกรุงเทพแล้ว แต่แจ้งว่าเป็นของกรมทางหลวง เลยไม่เข้าใจว่าทำไมประสานงานต่อกันไม่ได้,"เขตราษฎร์บูรณะ, เพื่อนชัชชาติ, กรุงเทพมหานคร",อื่นๆ,รอรับเรื่อง,2022-06-05,13:40 น.,รอรับเรื่อง,915,915
